# Lexdi word list: 2026 Developer Terms
word	action
adhoc	add
androidx	add
ansible	add
apisauce	add
apollo	add
argparse	add
artefact	add
artefacts	add
atlassian	add
bigquery	add
bitnami	add
bitrise	add
bittorrent	add
bugsnag	add
buildkit	add
buildkite	add
buildx	add
cdktf	add
chrono	add
cldr	add
clsx	add
codecov	add
codefresh	add
codegen	add
codemagic	add
codemod	add
codemods	add
codeql	add
codeship	add
cookiebot	add
cooklang	add
crashlytics	add
cryptiles	add
csat	add
dangerfile	add
dangerfiles	add
darkvisitors	add
debuggability	add
dedup	add
deeplink	add
dependabot	add
Destructuring	add
devkit	add
devops	add
dhat	add
dmarc	add
docgen	add
dotenv	add
dropzone	add
ellipsize	add
embiggened	add
entrypoint	add
entrypoints	add
esbuild	add
esdoc	add
esignature	add
esnext	add
esno	add
execa	add
Failable	add
falsey	add
FARGATE	add
fhir	add
figma	add
firestore	add
flate	add
formstack	add
fqdn	add
freshdesk	add
frontmatter	add
fsevents	add
gcloud	add
gdpr	add
globbed	add
glog	add
gradlew	add
graphiql	add
graphql	add
graphviz	add
greenkeeper	add
hacky	add
hardlinks	add
hashtable	add
helmfile	add
helmfiles	add
hotfixes	add
hoverable	add
hyperlinker	add
icomoon	add
idfa	add
Itertools	add
jackett	add
jetifier	add
js	add
jscodeshift	add
jsonpointer	add
jspm	add
jwks	add
jwts	add
keypath	add
keypaths	add
kubernetes	add
lamports	add
lcov	add
libphonenumber	add
linuxserver	add
lockfile	add
lockfiles	add
logcat	add
loro	add
lucene	add
luxon	add
magick	add
mailgun	add
manypkg	add
markdoc	add
memfs	add
menlo	add
Merkle	add
messageformat	add
metavar	add
micromatch	add
middlewares	add
mmkv	add
mockito	add
modulz	add
monaco	add
moti	add
nargs	add
neato	add
nestjs	add
networksetup	add
neumorphic	add
nextjs	add
nodegit	add
noto	add
nrwl	add
nvmrc	add
nzbget	add
octokit	add
ofetch	add
offboard	add
offboarded	add
olap	add
oltp	add
ombi	add
openapi	add
openid	add
opentelemetry	add
oplog	add
optimizely	add
passwordless	add
pbcopy	add
pcre	add
pegjs	add
Peritext	add
pino	add
playstore	add
plexpass	add
plimit	add
popd	add
popperjs	add
postbuild	add
postinstall	add
prebuild	add
precommit	add
Preinit	add
prepush	add
prerendered	add
prerendering	add
pressable	add
promisified	add
psql	add
pushd	add
qrcode	add
radarr	add
rbenv	add
reactjs	add
reactotron	add
reactxp	add
redash	add
regen	add
regexpal	add
retryable	add
rgba	add
rrule	add
rstest	add
rsvg	add
sepa	add
signoz	add
smartling	add
sofort	add
solito	add
sonarr	add
sourcemaps	add
sprintf	add
statsd	add
stylis	add
subgrid	add
subgrids	add
subparsers	add
subresource	add
supergraph	add
swapi	add
syncpack	add
synology	add
systrace	add
tabler	add
tagify	add
tempy	add
tldr	add
tlds	add
tldts	add
toolbelt	add
transpiler	add
transpiling	add
truthy	add
tslib	add
turbopack	add
twilio	add
txns	add
typecheck	add
typedi	add
typedoc	add
typeorm	add
tzdata	add
tzdb	add
uglifyjs	add
umzug	add
unconfigured	add
unexported	add
unmigrated	add
unparseable	add
unprocessable	add
unshorten	add
unshortening	add
unstyled	add
upsert	add
vcard	add
vendored	add
vercel	add
webfactory	add
webhook	add
webm	add
webp	add
woff	add
wordmark	add
worklets	add
worktree	add
xunit	add
zeplin	add
zipkin	add
zoneinfo	add
